variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holes_respawn_to_start,stoch_sparse,52,1,0,135,26942,50,0.02,0.01
holes_respawn_to_start,stoch_sparse,53,1,0,35,6956,54,0.0,0.02
holes_respawn_to_start,stoch_sparse,54,1,0,136,27195,221,0.0,0.0
holes_respawn_to_start,stoch_sparse,55,1,0,26,5082,22,0.04,0.02
holes_respawn_to_start,stoch_sparse,56,1,0,250,49981,159,0.0,0.0
holes_respawn_to_start,stoch_sparse,57,1,0,51,10079,219,0.0,0.0
holes_respawn_to_start,stoch_sparse,58,1,0,14,2794,16,0.02,0.04
holes_respawn_to_start,stoch_sparse,59,1,0,50,9856,55,0.0,0.02
holes_respawn_to_start,stoch_sparse,60,1,0,215,42923,91,0.0,0.01
holes_respawn_to_start,stoch_sparse,61,1,0,179,35705,72,0.0,0.01
holes_respawn_to_start,stoch_sparse,62,1,0,26,5166,20,0.02,0.02
holes_respawn_to_start,stoch_sparse,63,1,0,70,13858,18,0.02,0.01
holes_respawn_to_start,stoch_sparse,64,1,0,224,44721,155,0.0,0.0
holes_respawn_to_start,stoch_sparse,65,1,0,23,4484,39,0.02,0.01
holes_respawn_to_start,stoch_sparse,66,1,0,52,10311,64,0.0,0.01
holes_respawn_to_start,stoch_sparse,67,1,0,145,28996,21,0.02,0.02
holes_respawn_to_start,stoch_sparse,68,1,0,80,15983,43,0.02,0.02
holes_respawn_to_start,stoch_sparse,69,1,0,86,17160,150,0.0,0.0
holes_respawn_to_start,stoch_sparse,70,1,0,102,20245,15,0.02,0.01
holes_respawn_to_start,stoch_sparse,71,1,0,47,9248,35,0.02,0.01
holes_respawn_to_start,stoch_sparse,72,1,0,121,24041,58,0.0,0.02
holes_respawn_to_start,stoch_sparse,73,1,0,197,39254,198,0.0,0.0
holes_respawn_to_start,stoch_sparse,74,1,0,7,1281,241,0.0,0.0
holes_respawn_to_start,stoch_sparse,75,1,0,20,3957,92,0.0,0.01
holes_respawn_to_start,stoch_sparse,76,1,0,44,8785,8,0.02,0.01
holes_respawn_to_start,stoch_sparse,77,1,0,20,3884,14,0.06,0.05
holes_respawn_to_start,stoch_sparse,78,1,0,42,8295,14,0.02,0.01
holes_respawn_to_start,stoch_sparse,79,1,0,140,27897,66,0.0,0.01
holes_respawn_to_start,stoch_sparse,80,1,0,60,11863,40,0.02,0.02
holes_respawn_to_start,stoch_sparse,81,1,0,57,11260,118,0.0,0.0
holes_respawn_to_start,stoch_sparse,82,1,0,81,16138,87,0.0,0.01
holes_respawn_to_start,stoch_sparse,83,1,0,39,7657,50,0.02,0.02
holes_respawn_to_start,stoch_sparse,84,1,0,79,15717,282,0.0,0.0
holes_respawn_to_start,stoch_sparse,85,1,0,41,8167,31,0.04,0.02
holes_respawn_to_start,stoch_sparse,86,1,0,50,9913,97,0.0,0.01
holes_respawn_to_start,stoch_sparse,87,1,0,85,16936,58,0.0,0.01
holes_respawn_to_start,stoch_sparse,88,1,0,42,8252,34,0.02,0.01
holes_respawn_to_start,stoch_sparse,89,1,0,340,67929,122,0.0,0.0
holes_respawn_to_start,stoch_sparse,90,1,0,181,36041,100,0.0,0.01
holes_respawn_to_start,stoch_sparse,91,1,0,81,16149,14,0.02,0.01
holes_respawn_to_start,stoch_sparse,92,1,0,29,5664,72,0.0,0.01
holes_respawn_to_start,stoch_sparse,93,1,0,12,2238,51,0.0,0.01
holes_respawn_to_start,stoch_sparse,94,1,0,38,7569,188,0.0,0.0
holes_respawn_to_start,stoch_sparse,95,1,0,45,8886,13,0.02,0.01
holes_respawn_to_start,stoch_sparse,96,1,0,248,49502,82,0.0,0.01
holes_respawn_to_start,stoch_sparse,97,1,0,74,14653,34,0.04,0.02
holes_respawn_to_start,stoch_sparse,98,1,0,92,18252,324,0.0,0.0
holes_respawn_to_start,stoch_sparse,99,1,0,111,22152,393,0.0,0.0
holes_respawn_to_start,stoch_dense,0,1,1,29,5649,30,0.02,0.04
holes_respawn_to_start,stoch_dense,1,1,1,205,40942,112,0.0,0.0
holes_respawn_to_start,stoch_dense,2,1,1,37,7390,118,0.0,0.0
holes_respawn_to_start,stoch_dense,3,1,1,134,26657,80,0.0,0.01
holes_respawn_to_start,stoch_dense,4,1,1,106,21180,46,0.02,0.02
holes_respawn_to_start,stoch_dense,5,1,1,381,76162,1,0.02,0.01
holes_respawn_to_start,stoch_dense,6,1,1,79,15656,15,0.04,0.02
holes_respawn_to_start,stoch_dense,7,1,1,21,4045,11,0.02,0.01
holes_respawn_to_start,stoch_dense,8,1,1,79,15711,208,0.0,0.0
holes_respawn_to_start,stoch_dense,9,1,1,96,19166,13,0.02,0.01
holes_respawn_to_start,stoch_dense,10,1,1,140,27908,1,0.02,0.02
holes_respawn_to_start,stoch_dense,11,1,1,23,4428,97,0.0,0.01
holes_respawn_to_start,stoch_dense,12,1,1,192,38325,325,0.0,0.0
holes_respawn_to_start,stoch_dense,13,1,1,6,1063,137,0.0,0.0
holes_respawn_to_start,stoch_dense,14,1,1,9,1681,4,0.02,0.02
holes_respawn_to_start,stoch_dense,15,1,1,70,13976,62,0.0,0.01
holes_respawn_to_start,stoch_dense,16,1,1,62,12280,84,0.0,0.01
holes_respawn_to_start,stoch_dense,17,1,1,125,24969,114,0.0,0.0
holes_respawn_to_start,stoch_dense,18,1,1,17,3385,473,0.0,0.0
holes_respawn_to_start,stoch_dense,19,1,1,150,29979,70,0.0,0.01
holes_respawn_to_start,stoch_dense,20,1,1,83,16517,65,0.0,0.01
holes_respawn_to_start,stoch_dense,21,1,1,97,19277,15,0.02,0.01
holes_respawn_to_start,stoch_dense,22,1,1,25,4993,77,0.0,0.01
holes_respawn_to_start,stoch_dense,23,1,1,94,18790,61,0.0,0.02
holes_respawn_to_start,stoch_dense,24,1,1,197,39273,178,0.0,0.0
holes_respawn_to_start,stoch_dense,25,1,1,32,6221,280,0.0,0.0
holes_respawn_to_start,stoch_dense,26,1,1,12,2381,13,0.04,0.02
holes_respawn_to_start,stoch_dense,27,1,1,187,37393,112,0.0,0.0
holes_respawn_to_start,stoch_dense,28,1,1,120,23891,70,0.0,0.02
holes_respawn_to_start,stoch_dense,29,1,1,1,134,37,0.02,0.01
holes_respawn_to_start,stoch_dense,30,1,1,165,32918,228,0.0,0.0
holes_respawn_to_start,stoch_dense,31,1,1,70,13990,37,0.02,0.01
holes_respawn_to_start,stoch_dense,32,1,1,101,20170,213,0.0,0.0
holes_respawn_to_start,stoch_dense,33,1,1,28,5474,142,0.0,0.0
holes_respawn_to_start,stoch_dense,34,1,1,42,8345,280,0.0,0.0
holes_respawn_to_start,stoch_dense,35,1,1,21,4112,53,0.0,0.03
holes_respawn_to_start,stoch_dense,36,1,1,10,1872,9,0.04,0.03
holes_respawn_to_start,stoch_dense,37,1,1,275,54916,159,0.0,0.0
holes_respawn_to_start,stoch_dense,38,1,1,80,15943,5,0.04,0.03
holes_respawn_to_start,stoch_dense,39,1,1,204,40644,86,0.0,0.01
holes_respawn_to_start,stoch_dense,40,1,1,122,24375,136,0.0,0.0
holes_respawn_to_start,stoch_dense,41,1,1,213,42536,67,0.0,0.01
holes_respawn_to_start,stoch_dense,42,1,1,88,17512,43,0.02,0.03
holes_respawn_to_start,stoch_dense,43,1,1,182,36317,125,0.0,0.0
holes_respawn_to_start,stoch_dense,44,1,1,54,10794,9,0.02,0.02
holes_respawn_to_start,stoch_dense,45,1,1,359,71750,287,0.0,0.0
holes_respawn_to_start,stoch_dense,46,1,1,109,21722,127,0.0,0.0
holes_respawn_to_start,stoch_dense,47,1,1,85,16876,157,0.0,0.0
holes_respawn_to_start,stoch_dense,48,1,1,30,5923,138,0.0,0.0
holes_respawn_to_start,stoch_dense,49,1,1,6,1140,189,0.0,0.0
holes_respawn_to_start,stoch_dense,50,1,1,30,5973,165,0.0,0.0
holes_respawn_to_start,stoch_dense,51,1,1,14,2718,75,0.0,0.01
holes_respawn_to_start,stoch_dense,52,1,1,235,46839,76,0.0,0.01
holes_respawn_to_start,stoch_dense,53,1,1,714,142650,36,0.02,0.04
