variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,stoch_sparse,90,1,0,4,684,2,0.42,0.44
holeless_control,stoch_sparse,91,1,0,2,295,1,0.34,0.39
holeless_control,stoch_sparse,92,1,0,2,294,14,0.34,0.34
holeless_control,stoch_sparse,93,1,0,3,551,2,0.36,0.36
holeless_control,stoch_sparse,94,1,0,1,154,1,0.36,0.35
holeless_control,stoch_sparse,95,1,0,1,188,5,0.48,0.47
holeless_control,stoch_sparse,96,1,0,1,191,2,0.48,0.51
holeless_control,stoch_sparse,97,1,0,10,1991,4,0.46,0.43
holeless_control,stoch_sparse,98,1,0,1,112,1,0.38,0.35
holeless_control,stoch_sparse,99,1,0,3,495,1,0.5,0.41
holeless_control,stoch_dense,0,1,1,4,723,1,0.44,0.47
holeless_control,stoch_dense,1,1,1,2,322,3,0.46,0.43
holeless_control,stoch_dense,2,1,1,2,246,1,0.4,0.46
holeless_control,stoch_dense,3,1,1,1,126,2,0.38,0.39
holeless_control,stoch_dense,4,1,1,1,88,3,0.38,0.44
holeless_control,stoch_dense,5,1,1,1,103,1,0.38,0.42
holeless_control,stoch_dense,6,1,1,1,36,1,0.32,0.33
holeless_control,stoch_dense,7,1,1,1,87,1,0.46,0.43
holeless_control,stoch_dense,8,1,1,2,323,2,0.48,0.46
holeless_control,stoch_dense,9,1,1,1,145,4,0.4,0.41
holeless_control,stoch_dense,10,1,1,2,376,2,0.46,0.47
holeless_control,stoch_dense,11,1,1,1,176,2,0.48,0.44
holeless_control,stoch_dense,12,1,1,2,397,2,0.46,0.42
holeless_control,stoch_dense,13,1,1,1,30,1,0.38,0.41
holeless_control,stoch_dense,14,1,1,3,463,2,0.32,0.35
holeless_control,stoch_dense,15,1,1,1,174,1,0.38,0.43
holeless_control,stoch_dense,16,1,1,8,1529,5,0.36,0.41
holeless_control,stoch_dense,17,1,1,3,500,8,0.32,0.42
holeless_control,stoch_dense,18,1,1,3,512,1,0.36,0.42
holeless_control,stoch_dense,19,1,1,2,265,1,0.36,0.42
holeless_control,stoch_dense,20,1,1,2,363,6,0.32,0.35
holeless_control,stoch_dense,21,1,1,4,694,1,0.4,0.42
holeless_control,stoch_dense,22,1,1,5,902,11,0.32,0.37
holeless_control,stoch_dense,23,1,1,5,966,1,0.54,0.47
holeless_control,stoch_dense,24,1,1,1,67,1,0.32,0.32
holeless_control,stoch_dense,25,1,1,1,141,3,0.46,0.43
holeless_control,stoch_dense,26,1,1,2,237,2,0.42,0.38
holeless_control,stoch_dense,27,1,1,3,565,3,0.3,0.33
holeless_control,stoch_dense,28,1,1,3,570,1,0.32,0.35
holeless_control,stoch_dense,29,1,1,1,134,4,0.38,0.42
holeless_control,stoch_dense,30,1,1,1,97,1,0.38,0.38
holeless_control,stoch_dense,31,1,1,1,35,1,0.54,0.47
holeless_control,stoch_dense,32,1,1,7,1354,1,0.48,0.46
holeless_control,stoch_dense,33,1,1,1,145,3,0.34,0.38
holeless_control,stoch_dense,34,1,1,4,800,2,0.4,0.41
holeless_control,stoch_dense,35,1,1,1,126,1,0.4,0.4
holeless_control,stoch_dense,36,1,1,1,188,2,0.42,0.46
holeless_control,stoch_dense,37,1,1,1,60,5,0.34,0.4
holeless_control,stoch_dense,38,1,1,10,1923,1,0.48,0.47
holeless_control,stoch_dense,39,1,1,1,103,1,0.46,0.38
holeless_control,stoch_dense,40,1,1,1,135,3,0.34,0.35
holeless_control,stoch_dense,41,1,1,3,441,2,0.5,0.5
